year,geo_name,geo,income
2015,"Census Tract 77.01","14000US06073007701",76369.0
2013,"Census Tract 101.09","14000US06073010109",62712.0
2014,"Census Tract 101.09","14000US06073010109",70000.0
2015,"Census Tract 101.09","14000US06073010109",73208.0
2013,"Census Tract 79.07","14000US06073007907",56648.0
2014,"Census Tract 79.07","14000US06073007907",59130.0
2015,"Census Tract 79.07","14000US06073007907",63269.0
2013,"Census Tract 216","14000US06073021600",61771.0
2014,"Census Tract 216","14000US06073021600",57100.0
2015,"Census Tract 216","14000US06073021600",61463.0
2013,"Census Tract 80.03","14000US06073008003",80388.0
2014,"Census Tract 80.03","14000US06073008003",94797.0
2015,"Census Tract 80.03","14000US06073008003",100417.0
2013,"Census Tract 80.06","14000US06073008006",85255.0
2014,"Census Tract 80.06","14000US06073008006",85990.0
2015,"Census Tract 80.06","14000US06073008006",87333.0
2013,"Census Tract 83.61","14000US06073008361",44397.0
2014,"Census Tract 83.61","14000US06073008361",50887.0
2015,"Census Tract 83.61","14000US06073008361",49050.0
2013,"Census Tract 83.62","14000US06073008362",71319.0
2014,"Census Tract 83.62","14000US06073008362",69250.0
2015,"Census Tract 83.62","14000US06073008362",69896.0
2013,"Census Tract 79.10","14000US06073007910",60872.0
2014,"Census Tract 79.10","14000US06073007910",62247.0
2015,"Census Tract 79.10","14000US06073007910",65089.0
2013,"Census Tract 2.01","14000US06073000201",99130.0
2014,"Census Tract 2.01","14000US06073000201",97976.0
2015,"Census Tract 2.01","14000US06073000201",100436.0
2013,"Census Tract 79.08","14000US06073007908",55650.0
2014,"Census Tract 79.08","14000US06073007908",65211.0
2015,"Census Tract 79.08","14000US06073007908",61181.0
2013,"Census Tract 83.63","14000US06073008363",54014.0
2014,"Census Tract 83.63","14000US06073008363",48256.0
2015,"Census Tract 83.63","14000US06073008363",62516.0
2013,"Census Tract 83.64","14000US06073008364",55337.0
2014,"Census Tract 83.64","14000US06073008364",63750.0
2015,"Census Tract 83.64","14000US06073008364",67906.0
2013,"Census Tract 83.66","14000US06073008366",143500.0
2014,"Census Tract 83.66","14000US06073008366",143431.0
2015,"Census Tract 83.66","14000US06073008366",144487.0
2013,"Census Tract 77.02","14000US06073007702",55981.0
2014,"Census Tract 77.02","14000US06073007702",54812.0
2015,"Census Tract 77.02","14000US06073007702",55945.0
2013,"Census Tract 170.56","14000US06073017056",95031.0
2014,"Census Tract 170.56","14000US06073017056",85556.0
2015,"Census Tract 170.56","14000US06073017056",95308.0
2013,"Census Tract 2.02","14000US06073000202",77872.0
2014,"Census Tract 2.02","14000US06073000202",75019.0
