USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                             
CA	06037106604	2611563	8851	1.008	0.003	34.3033292	-118.4745764                                                                                                                                         
CA	06037106641	1135493	0	0.438	0.	34.2984691	-118.5084331                                                                                                                                               
CA	06037106642	1577594	0	0.609	0.	34.2863224	-118.5070136                                                                                                                                               
CA	06037106643	4340006	0	1.676	0.	34.2894663	-118.5220384                                                                                                                                               
CA	06037106645	2527931	0	0.976	0.	34.2905628	-118.4941725                                                                                                                                               
CA	06037106646	1476213	0	0.57	0.	34.2797379	-118.4939447                                                                                                                                                
CA	06037106648	792930	0	0.306	0.	34.2930983	-118.4558345                                                                                                                                                
CA	06037106649	1112675	0	0.43	0.	34.2892496	-118.460655                                                                                                                                                 
CA	06037107010	684671	0	0.264	0.	34.3020803	-118.4467204                                                                                                                                                
CA	06037107020	994806	0	0.384	0.	34.2975505	-118.4504794                                                                                                                                                
CA	06037108101	1128633	0	0.436	0.	34.2793058	-118.5416524                                                                                                                                               
CA	06037108102	2183816	0	0.843	0.	34.2804584	-118.5550665                                                                                                                                               
CA	06037108103	2563867	0	0.99	0.	34.2864236	-118.5400017                                                                                                                                                
CA	06037108104	826020	0	0.319	0.	34.2943135	-118.5460083                                                                                                                                                
CA	06037108201	2805114	0	1.083	0.	34.2868634	-118.564234                                                                                                                                                
CA	06037108202	5996863	3024	2.315	0.001	34.2872696	-118.5775105                                                                                                                                         
CA	06037109100	2705905	0	1.045	0.	34.2771624	-118.46316                                                                                                                                                 
CA	06037109200	1191362	0	0.46	0.	34.2779946	-118.4746349                                                                                                                                                
CA	06037109300	1233087	0	0.476	0.	34.2711982	-118.4804333                                                                                                                                               
CA	06037109400	1290834	0	0.498	0.	34.2687153	-118.4557009                                                                                                                                               
CA	06037109500	1194583	0	0.461	0.	34.2703268	-118.4389358                                                                                                                                               
CA	06037109601	2214559	33284	0.855	0.013	34.2593157	-118.4495333                                                                                                                                        
CA	06037109603	998887	0	0.386	0.	34.2536518	-118.4654157                                                                                                                                                
CA	06037109604	1174875	0	0.454	0.	34.2615445	-118.4653518                                                                                                                                               
CA	06037109700	1586861	0	0.613	0.	34.2619342	-118.4808881                                                                                                                                               
CA	06037109800	1399406	0	0.54	0.	34.2537115	-118.4815974                                                                                                                                                
CA	06037111100	1059245	0	0.409	0.	34.2683099	-118.4950694                                                                                                                                               
CA	06037111201	1912806	0	0.739	0.	34.2748338	-118.5101489                                                                                                                                               
CA	06037111202	1866692	0	0.721	0.	34.2684432	-118.5148271                                                                                                                                               
CA	06037111204	3294685	16598	1.272	0.006	34.262647	-118.5471995                                                                                                                                         
CA	06037111205	1141318	17738	0.441	0.007	34.2543903	-118.5351305                                                                                                                                        
CA	06037111206	2611197	11547	1.008	0.004	34.2690645	-118.5343557                                                                                                                                        
CA	06037111301	2001347	0	0.773	0.	34.261129	-118.5157706                                                                                                                                                
CA	06037111302	1552799	0	0.6	0.	34.2539511	-118.5128425                                                                                                                                                 
CA	06037111400	1812030	0	0.7	0.	34.2578116	-118.496182                                                                                                                                                  
CA	06037113101	2265262	2714	0.875	0.001	34.2654115	-118.5852975                                                                                                                                         
CA	06037113102	3653885	16997	1.411	0.007	34.2663853	-118.56677                                                                                                                                          
CA	06037113211	7280767	3053	2.811	0.001	34.2675047	-118.6227776                                                                                                                                         
CA	06037113212	998550	0	0.386	0.	34.2606831	-118.6024264                                                                                                                                                
CA	06037113213	1300834	24	0.502	0.	34.2515	-118.607847                                                                                                                                                  
CA	06037113231	4121025	18102	1.591	0.007	34.2266028	-118.6502378                                                                                                                                        
CA	06037113232	2065814	0	0.798	0.	34.225826	-118.6125452                                                                                                                                                
CA	06037113233	1143944	0	0.442	0.	34.2269621	-118.6012202                                                                                                                                               
CA	06037113234	1012996	9924	0.391	0.004	34.2257746	-118.5939793                                                                                                                                         
CA	06037113235	1433647	0	0.554	0.	34.2382508	-118.6516805                                                                                                                                               
CA	06037113237	4736212	11048	1.829	0.004	34.2451986	-118.6126947                                                                                                                                        
CA	06037113301	2269613	0	0.876	0.	34.2440427	-118.5583429                                                                                                                                               
CA	06037113303	4073592	7269	1.573	0.003	34.2436235	-118.5775956                                                                                                                                         
CA	06037113321	1048340	17	0.405	0.	34.2533539	-118.5918392                                                                                                                                              
CA	06037113322	1786514	0	0.69	0.	34.2536788	-118.5721382                                                                                                                                                
